DateTime,SSC,Percent_Fines,Q
42459.83,386,71,11858.17
42462.61,287,70,13331.18
42493.59,366,68,16351.01
42500.57,222,76,11858.17
42515.72,137.5,79,7677.941
42523.35,241,75,12929.38
42537.47,520,80,14661.15
42542.55,306,69,19181.53
42549.51,176,85,7757.973
42635.76,1191,93.8,23827.04
42636.45,1150,75,27204.27
42640.67,503,64,32435.3
42842.03,145,90.7,8652.509171
42845.69,139,87,9874.876858
42856.84,308,77,13395.07432
42857.7,364,73,15345.74585
42859.79,351,70,17669.53013
42876.74,446,78,18443.49908
42948.59,66,93,2753.720055
42966.59,833,90,6843.24955
