DateTime,SSC,Percent_Fines,Q
42459.62,268,78,11490.37446
42460.56,312,80,12596.61063
42493.66,381,81,16083.4845
42516.37,174,79.5,9118.661758
42523.64,247,77,14692.22057
42537.39,1390,93,15824.35805
42543.39,343,71,20628.0711
42550.72,240,90,9422.276207
42577.49,210,74,21317.05294
42592.71,67,92,4089.037698
42641.51,147,55,37969.69995
42642.49,180,46,38276.54195
42843.81,234,88.5,11575.9506
42845.95,330,86,12885.44193
42857.86,406,83,16784.75626
42859.63,411,77,18408.52091
42873.67,627,93,14425.67126
42876.90,538,86,19034.18486
42948.75,81,90,2839.373913
42965.92,570,94,5956.474238
42969.61,615,96,11246.42818
